,x_labels,numbers_of_receptors,receptor_density
87,Temporal_Pole_Sup_R,16373.479736015666,12.237279324376432
88,Temporal_Mid_L,66096.26411286369,13.374395814015315
89,Temporal_Mid_R,74623.17452539317,16.92519267983515
90,Temporal_Pole_Mid_L,12006.413548707962,15.90253450159995
91,Temporal_Pole_Mid_R,19621.16185956821,16.53004368961096
92,Temporal_Inf_L,45771.15111798188,14.303484724369337
93,Temporal_Inf_R,56607.288691073656,15.914334745873955
94,Cerebelum_Crus1_L,7946.590381431859,3.052858387027222
95,Cerebelum_Crus1_R,7289.779345415533,2.7529378192656844
96,Cerebelum_Crus2_L,950.6350428387523,0.5019192412031427
97,Cerebelum_Crus2_R,889.4280407610349,0.4201360608224067
98,Cerebelum_3_L,78.91800328996032,0.5802794359555906
99,Cerebelum_3_R,146.61600618204102,0.7082898849373962
100,Cerebelum_4_5_L,6436.634293596726,5.721452705419312
101,Cerebelum_4_5_R,4842.36421507597,5.624116393816458
102,Cerebelum_6_L,13105.080654385034,7.736175120652322
103,Cerebelum_6_R,12084.887572087813,6.732527895313545
104,Cerebelum_7b_L,537.2170261470601,0.9183197028154874
105,Cerebelum_7b_R,475.8950223280117,0.891189180389535
106,Cerebelum_8_L,2562.2911211210303,1.3578649290519504
107,Cerebelum_8_R,2954.818136213813,1.2802504922936797
108,Cerebelum_9_L,729.4490385032259,0.839412012086566
109,Cerebelum_9_R,500.8950231517665,0.6191533042667077
110,Cerebelum_10_L,-0.4320000037550926,-0.003000000026077032
111,Cerebelum_10_R,-0.4770000041462481,-0.003000000026077032
112,Vermis_1_2,45.739001986570656,0.8630000374824652
113,Vermis_3,185.5340079991147,0.8137456491189241
114,Vermis_4_5,1074.6540484377183,1.616021125470253
115,Vermis_6,606.9380253339186,1.6359515507652793
116,Vermis_7,164.70300755277276,0.8489845750142926
117,Vermis_8,362.3810169119388,1.4912799049874024
118,Vermis_9,120.24200558196753,0.6910460090917674
119,Vermis_10,9.676000553648919,0.08639286208615106
